ServiceStatus,MajorCyclewayName,Type,CreateDate,LastEditDate,Shape__Length,Ownership,PublicRelevance,GeometryPath
In Service,,Cycle lane,2021-03-23 13:33:26+13:00,2021-08-11 15:43:09+12:00,39.61,CCC,No Public Relevance,"[[[172.6096797343869, -43.494585118433115], [172.60965274079248, -43.49461253261332], [172.60954456162074, -43.4946865567632], [172.6093769588846, -43.49486335006391]]]"
In Service,,Cycle lane,2021-03-23 13:33:26+13:00,2021-08-11 15:43:09+12:00,32.64,CCC,No Public Relevance,"[[[172.61128449410612, -43.492923171764296], [172.6110476843849, -43.49316113980436]]]"
In Service,,Cycle lane,2021-03-23 13:33:26+13:00,2021-08-11 15:43:09+12:00,85.99,CCC,No Public Relevance,"[[[172.61207679286952, -43.49212838754874], [172.61206937726257, -43.49213783311475], [172.61201534967904, -43.49218129455413], [172.61158790402158, -43.49261928928488], [172.61146716934607, -43.49274240279794], [172.61145412470353, -43.49275554617095]]]"
In Service,,Cycle lane,2021-03-23 13:33:26+13:00,2021-08-11 15:43:09+12:00,39.39,CCC,No Public Relevance,"[[[172.6133032842384, -43.49085488544582], [172.61315663965252, -43.49100580848877], [172.6130222475755, -43.49114462330025]]]"
In Service,,Cycle lane,2021-03-23 13:33:26+13:00,2021-08-11 15:43:09+12:00,17.43,CCC,No Public Relevance,"[[[172.61342889383346, -43.490727354513155], [172.61341712020322, -43.49073914006088], [172.61331866045984, -43.490838854858325], [172.6133032842384, -43.49085488544582]]]"
In Service,,Cycle lane,2021-03-23 13:33:26+13:00,2021-08-11 15:43:09+12:00,72.75,CCC,No Public Relevance,"[[[172.6139499647466, -43.49019333092551], [172.6134378716793, -43.49071781419022], [172.61342889383346, -43.490727354513155]]]"
In Service,,Cycle lane,2021-03-23 13:33:26+13:00,2021-08-11 15:43:09+12:00,21.7,CCC,No Public Relevance,"[[[172.6141036750632, -43.49003320307643], [172.613969988777, -43.49017159550547], [172.6139499647466, -43.49019333092551]]]"
In Service,,Cycle lane,2021-03-23 13:33:26+13:00,2021-08-11 15:43:09+12:00,58.29,CCC,No Public Relevance,"[[[172.61451986636976, -43.48960464502339], [172.61451298995482, -43.489612647378955], [172.6141036750632, -43.49003320307643]]]"
In Service,,Cycle lane,2021-03-23 13:33:26+13:00,2021-08-11 15:43:09+12:00,30.67,CCC,No Public Relevance,"[[[172.6148719812267, -43.48923033666958], [172.61475706895197, -43.48935091612232], [172.6146516400972, -43.489455054039176]]]"
In Service,,Cycle lane,2021-03-23 13:33:26+13:00,2021-08-11 15:43:09+12:00,22.15,CCC,No Public Relevance,"[[[172.61503174981377, -43.48906658390609], [172.61487444015106, -43.48922989743755]]]"
In Service,,Shared path,2021-03-23 13:33:26+13:00,2021-08-11 15:43:10+12:00,131.66,CCC,No Public Relevance,"[[[172.6159879731566, -43.48813001610275], [172.6159272672763, -43.4881836777852], [172.61565562862083, -43.4884576206493], [172.61503772414758, -43.48909252381752]]]"
In Service,,Cycle lane,2021-03-23 13:33:26+13:00,2021-08-11 15:43:10+12:00,18.19,CCC,No Public Relevance,"[[[172.6160350741596, -43.48800506661503], [172.61598046388247, -43.48808668376206], [172.6159313763128, -43.48815038465091]]]"
In Service,,Cycle lane,2021-03-23 13:33:26+13:00,2021-08-11 15:43:10+12:00,46.86,CCC,No Public Relevance,"[[[172.61611729119716, -43.48797127396699], [172.6161372796265, -43.48798147992304], [172.61659113384482, -43.48821422248448]]]"
In Service,,Cycle lane,2021-03-23 13:33:26+13:00,2021-08-11 15:43:10+12:00,52.65,CCC,No Public Relevance,"[[[172.6162104335076, -43.48728542316204], [172.61619009002018, -43.487346367179825], [172.6161767286207, -43.48752374774448], [172.61615993795633, -43.487595054133514], [172.61614485890078, -43.487653851176], [172.61612280674737, -43.48772543523622], [172.61611668199183, -43.48774076972197], [172.61611378132912, -43.48775277893517]]]"
In Service,,Cycle lane,2021-03-23 13:33:26+13:00,2021-08-11 15:43:10+12:00,39.74,Waka Kotahi,No Public Relevance,"[[[172.6164751273112, -43.484103385985264], [172.61644265210316, -43.48426977493476], [172.61643057176357, -43.484447403038665], [172.61642936241861, -43.484459313490355]]]"
In Service,,Cycle lane,2021-03-23 13:33:26+13:00,2021-08-11 15:43:10+12:00,47.84,Waka Kotahi,No Public Relevance,"[[[172.622749397533, -43.460153859102164], [172.62266759648386, -43.460271145528814], [172.62249741878756, -43.46052791022779], [172.62248925632335, -43.460540664058094]]]"
In Service,,Cycle lane,2021-03-23 13:33:26+13:00,2021-08-11 15:43:10+12:00,46.71,Waka Kotahi,No Public Relevance,"[[[172.6289128187135, -43.45070213372715], [172.62888259635992, -43.45075286080194], [172.62869380129248, -43.451073338275236], [172.62868464416357, -43.45108849080488]]]"
In Service,,Cycle lane,2021-03-23 13:33:26+13:00,2021-08-11 15:43:10+12:00,67.94,Waka Kotahi,No Public Relevance,"[[[172.62791730169764, -43.45182720631378], [172.62794465754598, -43.451786024710664], [172.62807735133075, -43.45157770634217], [172.62825421316737, -43.45128306337135], [172.62826168949596, -43.451269330804024]]]"
In Service,,Cycle lane,2021-03-23 13:33:26+13:00,2021-08-11 15:43:10+12:00,125.18,Waka Kotahi,No Public Relevance,"[[[172.6214175298727, -43.46174044613558], [172.62143644539378, -43.461715325392134], [172.621664208643, -43.4613697583705], [172.6218761084734, -43.461047562337605], [172.6220458002659, -43.46079008293709], [172.62208772701456, -43.46072451765389]]]"
In Service,,Cycle lane,2021-03-23 13:33:26+13:00,2021-08-11 15:43:10+12:00,27.49,Waka Kotahi,No Public Relevance,"[[[172.618072938285, -43.466845633078876], [172.61810056205022, -43.4668060666162], [172.61817180284177, -43.46668512949047], [172.6182165462498, -43.466621401183374]]]"
In Service,,Cycle lane,2021-03-23 13:33:26+13:00,2021-08-11 15:43:10+12:00,139.6,Waka Kotahi,No Public Relevance,"[[[172.617940312087, -43.467064794215055], [172.61783966043703, -43.467241495832155], [172.61776875646032, -43.46737881276097], [172.61768684949317, -43.46754571173401], [172.61764604369668, -43.46764336153568], [172.61762170607787, -43.467710848725325], [172.6175980896056, -43.46776669480801], [172.61754092213152, -43.46791949726133], [172.61745769669795, -43.468239961559895], [172.61745081528173, -43.46826645631874]]]"
In Service,,Cycle lane,2021-03-23 13:33:26+13:00,2021-08-11 15:43:10+12:00,12.82,Waka Kotahi,No Public Relevance,"[[[172.61620471789004, -43.4843155774904], [172.61620462918742, -43.484329588806155], [172.61619892586495, -43.484430968145695]]]"
In Service,,Cycle lane,2021-03-23 13:33:26+13:00,2021-08-11 15:43:10+12:00,6.23,Waka Kotahi,No Public Relevance,"[[[172.61620912378314, -43.48425954672474], [172.61620471789004, -43.4843155774904]]]"
In Service,,Cycle lane,2021-03-23 13:33:26+13:00,2021-08-11 15:43:10+12:00,76.55,CCC,No Public Relevance,"[[[172.6114212530746, -43.49260181569052], [172.61186118713042, -43.49213570121999], [172.61196925867475, -43.492040241537346]]]"
In Service,,Cycle lane,2021-03-23 13:33:26+13:00,2021-08-11 15:43:10+12:00,13.12,CCC,No Public Relevance,"[[[172.6113336638098, -43.492701269443515], [172.61134096796928, -43.492692066663544], [172.6114078775774, -43.492615832251836], [172.6114212530746, -43.49260181569052]]]"
In Service,,Cycle lane,2021-03-23 13:33:26+13:00,2021-08-11 15:43:10+12:00,117.49,CCC,No Public Relevance,"[[[172.6103588553911, -43.49369145473829], [172.61039293128746, -43.49366753477582], [172.61046735581678, -43.49359260964682], [172.61065523595607, -43.49340457975572], [172.61099931800905, -43.49305148658117], [172.61108931969284, -43.49294920404105], [172.6111432011201, -43.49289307169687], [172.6112063772551, -43.49283304055412]]]"
In Service,,Cycle lane,2021-03-23 13:33:26+13:00,2021-08-11 15:43:10+12:00,149.51,CCC,No Public Relevance,"[[[172.60928016461804, -43.494785542772995], [172.60981388083508, -43.49423864337435], [172.61031790450085, -43.49372010733145], [172.61035823333026, -43.49369279245824]]]"
In Service,,Cycleway,2021-03-23 13:33:26+13:00,2021-08-11 15:43:10+12:00,112.85,CCC,Public,"[[[172.64549320991225, -43.5370753126856], [172.64485358155852, -43.53691509087357], [172.64452405826987, -43.536842781220834], [172.64417056791612, -43.53674940356117]]]"
In Service,,Cycleway,2021-03-23 13:33:26+13:00,2021-08-11 15:43:10+12:00,351.32,CCC,Public,"[[[172.64582260858697, -43.53714627752624], [172.6461770162102, -43.53723221001328], [172.64856521017498, -43.537824343795236], [172.64968658049895, -43.538096485776016], [172.6499348816634, -43.538172789084726]]]"
